,TotalPop,Men,Women,Hispanic,White,Black,Native,Asian,Pacific,Citizen,Income,IncomeErr,IncomePerCap,IncomePerCapErr,Poverty,ChildPoverty,Professional,Service,Office,Construction,Production,Drive,Carpool,Transit,Walk,OtherTransp,WorkAtHome,MeanCommute,Employed,PrivateWork,PublicWork,SelfEmployed,FamilyWork,Unemployment
TotalPop,1.0,0.015695685006712326,-0.015695606219126673,0.1091616513522572,-0.02900708702793012,-0.1102359948514717,-0.034636892352333463,0.10135938535300992,0.02524190740824114,-0.19895225626213695,0.17420031799092567,-0.0058843347531200175,0.03254431912191642,-0.09136262515943962,-0.15154649096165054,-0.14605482114386337,0.07685447697732699,-0.10953297701910499,0.0700857992662489,-0.013678198659694232,-0.07588592743510343,0.10970066701859722,0.012217357485273165,-0.0780013557412931,-0.11323888655534209,-0.060101880465561745,-0.013403435590424001,0.10440927478932814,0.07204496644723352,0.042290811286524704,-0.002736497423051337,-0.08051963143803757,-0.03226033195520046,-0.12643675083125408
Men,0.015695685006712326,1.0,-0.9999999997898408,0.05875892339187915,0.08823788448848223,-0.2024085227061336,0.030298634553953454,0.01502300033382695,0.026472046024747307,-0.008600959036902642,0.0478459826479937,0.0244852642898504,-0.014124964118478116,-0.015566746299474118,-0.05229985599702989,-0.06192795476890629,-0.033009064739720324,-0.04445553480399285,-0.1627616519389739,0.21586981090847338,0.06621909936838606,-0.015927635067160287,0.06964437604173769,-0.08202770365078052,0.07739046714877798,0.07001097102963974,0.06742730491809808,-0.03520289234191629,0.0031707997588357574,-0.045665647549142804,0.006900100628468243,0.0790106990575251,0.03784269200882444,-0.09275695364671711
Women,-0.015695606219126673,-0.9999999997898408,1.0,-0.058758825787742455,-0.08823806559482279,0.2024086792820902,-0.030298670938064598,-0.015022990312689099,-0.026472041920101885,0.00860090360981297,-0.04784599702872203,-0.024485242607813592,0.014124936759962434,0.015566743505413774,0.05230000402085662,0.061928104976019735,0.03300909018908848,0.04445559431863999,0.16276165200938678,-0.21587009021444445,-0.06621899378202914,0.015927485853904955,-0.06964440491376699,0.08202793427446614,-0.07739039494724657,-0.07001114497639833,-0.0674273761712917,0.035203053944508726,-0.0031708728605678114,0.04566564412419673,-0.006900053291420855,-0.07901076898732606,-0.037842806691900543,0.09275697123510347
Hispanic,0.1091616513522572,0.05875892339187915,-0.058758825787742455,1.0,-0.659432107630549,-0.11668421492640522,-0.039617111660972815,0.031586261755627565,0.018791912984086175,-0.6309776852068317,-0.22805213966302804,-0.0957032177749529,-0.3087818783050477,-0.16747120343750302,0.35006581147879257,0.3235979254496463,-0.3356927568864386,0.2901019547042832,0.007189350752138703,0.2691392793869545,0.13265565649426533,-0.18980466009606256,0.2673970668410765,0.13616037291076216,0.024226420104745676,0.12048330704167459,-0.15390470165575468,0.11982330969911671,-0.18938039453996228,0.05754173433805189,-0.09455587128392985,0.06291458591363666,-0.02736454657224898,0.22536550759032234
White,-0.02900708702793012,0.08823788448848223,-0.08823806559482279,-0.659432107630549,1.0,-0.5822811690425083,-0.0739687076599078,-0.2531238353359754,-0.09508330602236345,0.5898833432755908,0.3147854606601269,0.1024401371443771,0.38126792173487184,0.17913554138376858,-0.5297400031310289,-0.49859099701993115,0.35148529080881574,-0.4747284623297229,-0.029643104333487495,-0.04085935373921484,-0.127589810157367,0.36642478102260917,-0.2589417743369743,-0.36829016004960274,-0.07237545769600666,-0.14166538661542152,0.2416540300966295,-0.2072411826980946,0.2983184043993366,-0.039452557559111576,-0.02780746304826566,0.12911356649911765,0.064826037543676,-0.49532152720039246
Black,-0.1102359948514717,-0.2024085227061336,0.2024086792820902,-0.11668421492640522,-0.5822811690425083,1.0,-0.05240003809977207,-0.10787129068635554,-0.03751937284179812,-0.07040120778669888,-0.3105307635472975,-0.12588377147940194,-0.28388411246695533,-0.12058710571263538,0.4110725736880926,0.4131076655948531,-0.2473963120683515,0.3784200866701155,0.056579247822550645,-0.13098322049896918,0.14063153726237443,-0.20026440423779002,0.07145258350540103,0.2768566705446679,0.01471853784994876,0.031211701183268617,-0.20565229255659026,0.1056450558170946,-0.2830136256315734,0.019569089195685046,0.10545561875263153,-0.23710378555443418,-0.05601414569376846,0.484606158290209
Native,-0.034636892352333463,0.030298634553953454,-0.030298670938064598,-0.039617111660972815,-0.0739687076599078,-0.05240003809977207,1.0,-0.04127110568240043,0.008685680262813147,-0.0028147176700180384,-0.07208405899552837,-0.05786854594392988,-0.07525371649342778,-0.05445161726079605,0.0869303307801778,0.0716590847427743,-0.04338844940896299,0.05278722020115245,-0.04635386768921001,0.07203365758729471,0.0071985440491729134,-0.016427895641685168,0.04498476993496379,-0.04140796534510616,0.05293366163527571,0.04493796067609879,0.027666286393649805,-0.06613016762261678,-0.10326802385914569,-0.22464881060657613,0.24082982357534544,0.010600821026728708,0.026356468572645488,0.09229574220447567
Asian,0.10135938535300992,0.01502300033382695,-0.015022990312689099,0.031586261755627565,-0.2531238353359754,-0.10787129068635554,-0.04127110568240043,1.0,0.1648394424037484,-0.22558492748385545,0.2828936149873298,0.21906088159680434,0.20812874295755196,0.1339238040964067,-0.12344629456692696,-0.1571679329704667,0.26745674433881617,-0.08114699335369721,-0.037273829780436245,-0.2405928418143264,-0.2224707855746377,-0.2470213226984733,-0.013327594560339046,0.2486328763443677,0.10727655161513243,0.050853045465740127,0.04966535995451375,0.1884954659751694,0.18721386577986632,0.06933979540655895,-0.06451847679359397,-0.02033527990614554,-0.02317465254177723,-0.10758283674325518
Pacific,0.02524190740824114,0.026472046024747307,-0.026472041920101885,0.018791912984086175,-0.09508330602236345,-0.03751937284179812,0.008685680262813147,0.1648394424037484,1.0,-0.06210532660525989,0.007837997708140951,0.0130037054924785,-0.026406158383128167,-0.015562269302075209,0.008010192646208862,0.0028859759578153863,-0.03478761384599004,0.054135519171485263,0.02140737793225361,0.006029999919545867,-0.010593782271870416,-0.04135753912598935,0.06812628704531691,0.009124191889426026,0.007522645258217123,0.054377505801508845,-0.004487224262651658,0.0003779001898979911,-0.012807994367835192,-0.02709153212497697,0.033405382443236285,-0.006637621739200109,-0.0005711798447943521,0.005460553814417074
Citizen,-0.19895225626213695,-0.008600959036902642,0.00860090360981297,-0.6309776852068317,0.5898833432755908,-0.07040120778669888,-0.0028147176700180384,-0.22558492748385545,-0.06210532660525989,1.0,0.08525724299106407,0.04338922528570553,0.2688055379869,0.18636985154152622,-0.27424558880566957,-0.2869212916304303,0.3108203211325641,-0.277576079289211,0.10378878501818448,-0.24679540323617644,-0.19852082777007954,0.23935958515257347,-0.3332113550241205,-0.22460641831639766,0.05966624169066924,-0.08082518420501743,0.17725124772252912,-0.18744888986802782,0.13321909882362912,-0.21983358595179817,0.21490739777617854,0.04862503163209752,0.03840927101328117,-0.1626381579660294
