CensusId,State,County,TotalPop,Men,Women,Hispanic,White,Black,Native,Asian,Pacific,Citizen,Income,IncomeErr,IncomePerCap,IncomePerCapErr,Poverty,ChildPoverty,Professional,Service,Office,Construction,Production,Drive,Carpool,Transit,Walk,OtherTransp,WorkAtHome,MeanCommute,Employed,PrivateWork,PublicWork,SelfEmployed,FamilyWork,Unemployment
01001,Alabama,Autauga,55221,0.484326615,0.515673385,2.6,75.8,18.5,0.4,1,0,0.737491172,51281,2391,24974,1080,12.9,18.6,33.2,17,24.2,8.6,17.1,87.5,8.8,0.1,0.5,1.3,1.8,26.5,0.434363738,73.6,20.9,5.5,0,7.6
01003,Alabama,Baldwin,195121,0.488486631,0.511513369,4.5,83.1,9.5,0.6,0.7,0,0.756940565,50254,1263,27317,711,13.4,19.2,33.1,17.7,27.1,10.8,11.2,84.7,8.8,0.1,1,1.4,3.9,26.4,0.440511272,81.5,12.3,5.8,0.4,7.5
01005,Alabama,Barbour,26932,0.538281598,0.461718402,4.6,46.2,46.7,0.2,0.4,0,0.769122234,32964,2973,16824,798,26.7,45.3,26.8,16.1,23.1,10.8,23.1,83.8,10.9,0.4,1.8,1.5,1.6,24.1,0.319211347,71.8,20.8,7.3,0.1,17.6
01007,Alabama,Bibb,22604,0.534109007,0.465890993,2.2,74.5,21.4,0.4,0.1,0,0.773978057,38678,3995,18431,1618,16.8,27.9,21.5,17.9,17.8,19,23.7,83.2,13.5,0.5,0.6,1.5,0.7,28.8,0.366926208,76.8,16.1,6.7,0.4,8.3
01009,Alabama,Blount,57710,0.494056489,0.505943511,8.6,87.9,1.5,0.3,0.1,0,0.733754982,45813,3141,20532,708,16.7,27.2,28.5,14.1,23.9,13.5,19.9,84.9,11.2,0.4,0.9,0.4,2.3,34.9,0.384491423,82,13.5,4.2,0.4,7.7
01011,Alabama,Bullock,10678,0.530061809,0.469938191,4.4,22.2,70.7,1.2,0.2,0,0.754542049,31938,5884,17580,2055,24.6,38.4,18.8,15,19.7,20.1,26.4,74.9,14.9,0.7,5,1.7,2.8,27.5,0.361959168,79.5,15.1,5.4,0,18
01013,Alabama,Butler,20354,0.466836985,0.533163015,1.2,53.3,43.8,0.1,0.4,0,0.765500639,32229,1793,18390,714,25.4,39.2,27.5,16.6,21.9,10.3,23.7,84.5,12.4,0,0.8,0.6,1.7,24.6,0.383855753,77.4,16.2,6.2,0.2,10.9
01015,Alabama,Calhoun,116648,0.48242576,0.51757424,3.5,73,20.3,0.2,0.9,0,0.759652973,41703,925,21374,489,20.5,31.6,27.3,17.7,24.2,10.5,20.4,85.3,9.4,0.2,1.2,1.2,2.7,24.1,0.406359303,74.1,20.8,5,0.1,12.3
01017,Alabama,Chambers,34079,0.477067989,0.522932011,0.4,57.3,40.3,0.2,0.8,0,0.77648992,34177,2949,21071,1366,21.6,37.2,23.3,14.5,26.3,11.5,24.4,85.1,11.9,0.2,0.3,0.4,2.1,25.1,0.401684322,85.1,12.1,2.8,0,8.9
01019,Alabama,Cherokee,26008,0.498884958,0.501115042,1.5,91.7,4.8,0.6,0.3,0,0.79206398,36296,1710,21811,1556,19.2,30.1,29.3,16,19.5,13.7,21.5,83.9,12.1,0.2,0.6,0.7,2.5,27.4,0.390456783,73.1,18.5,7.9,0.5,7.9
